index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
 PGMCache,    4096,     0.88, 1522.66,       640.16,     26.90,      20.90,          5.70,     438.47, 2000000, 0.42, 1.00, 3.47 
 PGMCache,    8192,     0.95, 1651.29,       647.76,     28.14,      22.17,          6.15,     475.27, 2000000, 0.39, 1.00, 3.47 
 BTree,      32,     0.56, 970.13,       504.32,     13.84,       6.51,          4.70,     277.83, 2000000, 0.52, 1.00, 3.49 
 BTree,       1,     0.67, 1160.89,       532.00,     15.62,       7.55,          3.90,     335.51, 2000000, 0.46, 1.00, 3.46 
 BTree,       4,     0.59, 1017.17,       502.97,     13.99,       6.39,          4.08,     296.57, 2000000, 0.49, 1.00, 3.43 
 BTree,      16,     0.54, 945.57,       502.45,     13.26,       6.42,          4.50,     270.91, 2000000, 0.53, 1.00, 3.49 
 BTree,      64,     0.56, 978.21,       507.81,     14.50,       7.37,          4.69,     280.15, 2000000, 0.52, 1.00, 3.49 
 BTree,     128,     0.55, 950.13,       498.19,     15.67,       8.67,          4.88,     274.45, 2000000, 0.52, 1.00, 3.46 
 BTree,     512,     0.57, 997.60,       488.56,     20.32,      11.81,          5.46,     285.71, 2000000, 0.49, 1.00, 3.49 
 BTree,    1024,     0.59, 1027.51,       468.17,     22.51,      13.84,          5.48,     294.27, 2000000, 0.46, 1.00, 3.49 
 BTree,    4096,     0.66, 1153.57,       457.48,     27.91,      18.86,          5.78,     330.36, 2000000, 0.40, 1.00, 3.49 
 BTree,   16384,     0.76, 1319.69,       433.20,     32.51,      22.95,          5.97,     377.94, 2000000, 0.33, 1.00, 3.49 
 BTree,   65536,     0.82, 1439.83,       439.27,     38.98,      26.53,          6.02,     412.34, 2000000, 0.31, 1.00, 3.49 
 BTree,  262144,     0.92, 1601.12,       425.96,     47.32,      30.49,          6.32,     460.75, 2000000, 0.27, 1.00, 3.47 
 FITing,     128,     0.48, 833.98,       489.59,     13.91,       7.52,          4.24,     241.18, 2000000, 0.59, 1.00, 3.46 
 FITing,       8,     0.55, 945.82,       499.05,     13.27,       6.29,          4.20,     273.10, 2000000, 0.53, 1.00, 3.46 
 FITing,      16,     0.53, 909.72,       526.50,     13.36,       6.03,          4.11,     262.77, 2000000, 0.58, 1.00, 3.46 
 FITing,      32,     0.50, 865.32,       473.48,     13.69,       6.28,          4.15,     250.15, 2000000, 0.55, 1.00, 3.46 
 FITing,      64,     0.49, 850.88,       477.98,     13.17,       6.72,          4.24,     246.92, 2000000, 0.56, 1.00, 3.45 
 FITing,     256,     0.48, 834.18,       427.01,     14.43,       9.00,          4.15,     242.14, 2000000, 0.51, 1.00, 3.45 
 FITing,     512,     0.51, 890.73,       425.48,     15.53,      11.17,          4.10,     257.45, 2000000, 0.48, 1.00, 3.46 
 FITing,    1024,     0.54, 936.06,       394.75,     17.23,      13.54,          4.20,     270.42, 2000000, 0.42, 1.00, 3.46 
