index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.04, 217.54,       241.72,      0.67,       0.40,          0.21,      70.96,        0.00,      59.38,             0.07,        9.80,              0.03,       0.00,             0.00, 500000, 1.11, 1.00, 3.07 
PGM,       4,     0.03, 232.32,       246.16,      0.63,       0.39,          0.20,      68.59,        0.00,      62.02,             0.01,        6.26,              0.01,       0.00,             0.00, 500000, 1.06, 1.00, 3.39 
PGM,       8,     0.03, 196.07,       223.99,      0.64,       0.40,          0.23,      64.69,        0.00,      56.05,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.14, 1.00, 3.03 
PGM,      32,     0.03, 204.66,       245.94,      0.64,       0.39,          0.21,      67.16,        0.00,      58.17,             0.00,        6.22,              0.01,       0.00,             0.00, 500000, 1.20, 1.00, 3.05 
PGM,      64,     0.03, 206.73,       256.95,      0.64,       0.39,          0.20,      67.80,        0.00,      59.16,             0.01,        6.24,              0.01,       0.00,             0.00, 500000, 1.24, 1.00, 3.05 
PGM,     256,     0.03, 177.29,       251.72,      0.65,       0.41,          0.20,      59.11,        0.00,      55.56,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.42, 1.00, 3.00 
PGM,    1024,     0.03, 184.95,       273.98,      0.65,       0.40,          0.26,      61.45,        0.00,      57.20,             0.01,        6.21,              0.01,       0.02,             0.00, 500000, 1.48, 1.00, 3.01 
PGM,    2048,     0.03, 189.16,       289.16,      0.65,       0.41,          0.22,      60.66,        0.00,      57.74,             0.00,        6.21,              0.01,       0.00,             0.00, 500000, 1.53, 1.00, 3.12 
PGM,    4096,     0.03, 181.80,       286.84,      0.66,       0.41,          0.20,      58.71,        0.00,      55.22,             0.01,        5.21,              0.01,       0.00,             0.00, 500000, 1.58, 1.00, 3.10 
PGM,    8192,     0.03, 195.96,       308.96,      0.65,       0.40,          0.20,      63.56,        0.00,      59.23,             0.01,        6.20,              0.01,       0.00,             0.00, 500000, 1.58, 1.00, 3.08 
PGMCacheL (0, 0.000000, 0),      16,     0.03, 164.84,       161.51,      0.65,       0.43,          0.04,      52.47,        0.00,      52.31,             0.01,       16.23,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.14 
PGMCacheL (0, 0.000000, 0),       4,     0.03, 163.47,       161.49,      0.64,       0.43,          0.05,      53.18,        0.00,      52.21,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.07 
PGMCacheL (0, 0.000000, 0),       8,     0.03, 163.09,       161.25,      0.64,       0.43,          0.04,      53.09,        0.00,      52.20,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.07 
PGMCacheL (0, 0.000000, 0),      32,     0.03, 163.07,       162.12,      0.66,       0.42,          0.04,      54.43,        0.00,      51.30,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.00 
PGMCacheL (0, 0.000000, 0),      64,     0.03, 167.11,       162.32,      0.65,       0.43,          0.04,      52.12,        0.00,      52.23,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.97, 1.00, 3.21 
PGMCacheL (0, 0.000000, 0),     256,     0.03, 161.37,       161.67,      0.66,       0.42,          0.05,      54.33,        0.00,      51.65,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 2.97 
PGMCacheL (0, 0.000000, 0),    1024,     0.03, 163.10,       162.09,      0.66,       0.42,          0.05,      54.48,        0.00,      51.33,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 2.99 
PGMCacheL (0, 0.000000, 0),    2048,     0.03, 164.49,       161.38,      0.64,       0.43,          0.05,      52.45,        0.00,      52.29,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.14 
PGMCacheL (0, 0.000000, 0),    4096,     0.03, 165.07,       161.08,      0.64,       0.43,          0.05,      52.52,        0.00,      52.30,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.14 
PGMCacheL (0, 0.000000, 0),    8192,     0.03, 164.37,       161.15,      0.64,       0.43,          0.05,      52.33,        0.00,      52.37,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.14 
PGMCacheR (0, 0.000000, 0),      16,     0.03, 172.03,       170.01,      0.65,       0.42,          0.05,      54.65,        0.00,      51.22,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.15 
PGMCacheR (0, 0.000000, 0),       4,     0.03, 164.19,       161.31,      0.64,       0.43,          0.04,      52.30,        0.00,      52.34,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.14 
PGMCacheR (0, 0.000000, 0),       8,     0.03, 163.33,       161.12,      0.64,       0.43,          0.04,      52.14,        0.00,      52.38,             0.01,       16.21,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.13 
PGMCacheR (0, 0.000000, 0),      32,     0.03, 163.16,       162.24,      0.66,       0.42,          0.05,      54.46,        0.00,      51.31,             0.01,       16.22,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.00 
