index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.77, 1773.22,       579.62,      8.87,       5.50,          2.76,     510.64, 1500000, 0.33, 1.00, 3.47 
   RMI,       1,     0.77, 1794.23,       583.69,      9.99,       6.24,          3.06,     513.83, 1500000, 0.33, 1.00, 3.49 
   RMI,       2,     0.78, 1823.51,       582.07,     11.39,       7.24,          3.38,     522.25, 1500000, 0.32, 1.00, 3.49 
   RMI,       3,     0.84, 1947.82,       606.94,     15.48,       9.99,          3.94,     557.84, 1500000, 0.31, 1.00, 3.49 
   RMI,       4,     0.86, 1990.73,       606.56,     17.69,      11.65,          4.15,     570.18, 1500000, 0.30, 1.00, 3.49 
   RMI,       5,     0.88, 2058.65,       614.46,     20.54,      13.53,          4.46,     589.58, 1500000, 0.30, 1.00, 3.49 
   RMI,       6,     0.91, 2109.35,       615.26,     23.20,      15.53,          4.74,     604.10, 1500000, 0.29, 1.00, 3.49 
   RMI,       7,     0.94, 2183.45,       636.50,     28.97,      19.46,          5.29,     625.34, 1500000, 0.29, 1.00, 3.49 
   RMI,       8,     1.11, 2583.83,       661.58,     39.47,      28.63,          6.41,     740.01, 1500000, 0.26, 1.00, 3.49 
   RMI,       9,     1.22, 2840.18,       687.67,     45.43,      32.74,          6.92,     813.40, 1500000, 0.24, 1.00, 3.49 
    RS,       1,     1.06, 2459.08,       632.89,     51.42,      21.96,         11.63,     708.67, 1500000, 0.26, 1.00, 3.47 
    RS,       2,     0.94, 2172.36,       626.03,     43.62,      16.62,         11.89,     625.26, 1500000, 0.29, 1.00, 3.47 
    RS,       3,     0.92, 2133.78,       626.77,     42.74,      16.53,         11.61,     614.33, 1500000, 0.29, 1.00, 3.47 
    RS,       4,     0.87, 2010.17,       623.27,     42.05,      14.24,         11.71,     578.83, 1500000, 0.31, 1.00, 3.47 
    RS,       5,     0.84, 1951.43,       623.94,     41.49,      14.31,         11.54,     562.24, 1500000, 0.32, 1.00, 3.47 
    RS,       6,     0.84, 1944.21,       629.18,     42.32,      13.50,         11.69,     559.92, 1500000, 0.32, 1.00, 3.47 
    RS,       7,     0.81, 1872.33,       629.75,     44.60,      14.25,         11.72,     539.34, 1500000, 0.34, 1.00, 3.47 
    RS,       8,     0.81, 1866.58,       621.53,     44.80,      14.14,         11.81,     538.92, 1500000, 0.33, 1.00, 3.46 
    RS,       9,     0.80, 1856.25,       621.37,     44.59,      14.15,         11.73,     535.93, 1500000, 0.33, 1.00, 3.46 
    RS,      10,     0.82, 1897.03,       621.37,     44.90,      14.14,         11.80,     547.59, 1500000, 0.33, 1.00, 3.46 
   PGM,      16,     0.44, 1008.70,       294.65,     17.51,       7.52,          3.99,     292.95, 1500000, 0.29, 1.00, 3.44 
   PGM,       4,     0.50, 1151.50,       347.04,     24.87,       9.39,          5.11,     332.89, 1500000, 0.30, 1.00, 3.46 
   PGM,       8,     0.45, 1042.67,       314.40,     18.35,       6.95,          4.23,     301.72, 1500000, 0.30, 1.00, 3.46 
   PGM,      32,     0.47, 1080.40,       315.56,     18.03,       8.75,          4.03,     313.51, 1500000, 0.29, 1.00, 3.45 
   PGM,      64,     0.51, 1171.65,       342.04,     20.01,      10.42,          4.73,     338.67, 1500000, 0.29, 1.00, 3.46 
   PGM,     256,     0.52, 1185.14,       320.00,     25.23,      14.31,          5.51,     343.49, 1500000, 0.27, 1.00, 3.45 
   PGM,    1024,     0.59, 1359.74,       316.90,     29.73,      20.61,          5.54,     393.49, 1500000, 0.23, 1.00, 3.46 
   PGM,    2048,     0.65, 1492.30,       352.89,     33.83,      24.37,          6.01,     430.52, 1500000, 0.24, 1.00, 3.47 
   PGM,    4096,     0.70, 1614.33,       331.99,     37.81,      27.83,          6.44,     465.42, 1500000, 0.21, 1.00, 3.47 
   PGM,    8192,     0.76, 1769.27,       330.99,     39.99,      29.79,          6.30,     509.80, 1500000, 0.19, 1.00, 3.47 
 PGMMod,      16,     0.44, 1004.58,       294.64,     17.47,       7.51,          3.92,     290.82, 1500000, 0.29, 1.00, 3.45 
 PGMMod,       4,     0.48, 1115.48,       347.02,     18.77,       7.23,          4.15,     322.39, 1500000, 0.31, 1.00, 3.46 
 PGMMod,       8,     0.45, 1031.73,       314.39,     18.31,       6.88,          4.23,     298.60, 1500000, 0.30, 1.00, 3.46 
 PGMMod,      32,     0.47, 1086.10,       315.55,     18.06,       8.75,          4.34,     314.00, 1500000, 0.29, 1.00, 3.46 
 PGMMod,      64,     0.50, 1158.80,       340.39,     19.92,      10.42,          4.86,     336.16, 1500000, 0.29, 1.00, 3.45 
 PGMMod,     256,     0.51, 1184.09,       326.93,     25.10,      14.35,          5.41,     342.98, 1500000, 0.28, 1.00, 3.45 
 PGMMod,    1024,     0.58, 1336.85,       316.89,     29.84,      20.59,          5.55,     387.28, 1500000, 0.24, 1.00, 3.45 
 PGMMod,    2048,     0.68, 1572.34,       352.90,     33.85,      24.35,          6.04,     454.36, 1500000, 0.22, 1.00, 3.46 
 PGMMod,    4096,     0.70, 1616.88,       332.01,     37.99,      27.87,          6.44,     467.11, 1500000, 0.21, 1.00, 3.46 
 PGMMod,    8192,     0.77, 1770.83,       330.99,     39.89,      29.81,          6.24,     511.22, 1500000, 0.19, 1.00, 3.46 
 PGMCache,      16,     0.60, 1378.97,       710.88,     19.76,       7.42,          5.49,     398.79, 1500000, 0.52, 1.00, 3.46 
 PGMCache,       4,     0.63, 1450.64,       744.56,     20.34,       7.29,          5.65,     419.62, 1500000, 0.51, 1.00, 3.46 
 PGMCache,       8,     0.60, 1387.84,       723.78,     20.12,       6.79,          5.64,     400.55, 1500000, 0.52, 1.00, 3.46 
 PGMCache,      32,     0.63, 1458.33,       713.14,     20.21,       8.68,          6.21,     421.73, 1500000, 0.49, 1.00, 3.46 
