index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.04, 246.78,       252.82,      0.70,       0.39,          0.60,      74.59,        0.00,      59.65,             0.07,        9.99,              0.03,       0.00,             0.00, 500000, 1.02, 1.00, 3.31 
PGM,       4,     0.04, 246.56,       242.81,      0.64,       0.38,          0.60,      78.14,        0.00,      61.85,             0.01,        6.32,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.16 
PGM,       8,     0.03, 213.91,       224.40,      0.65,       0.39,          0.65,      67.15,        0.00,      56.47,             0.01,        6.23,              0.01,       0.01,             0.00, 500000, 1.05, 1.00, 3.19 
PGM,      32,     0.04, 220.47,       245.94,      0.65,       0.39,          0.61,      70.44,        0.00,      58.06,             0.01,        6.25,              0.01,       0.01,             0.00, 500000, 1.12, 1.00, 3.13 
PGM,      64,     0.03, 223.88,       255.07,      0.65,       0.39,          0.61,      69.26,        0.00,      59.59,             0.01,        6.26,              0.01,       0.00,             0.00, 500000, 1.14, 1.00, 3.23 
PGM,     256,     0.03, 197.16,       251.54,      0.66,       0.40,          0.62,      62.28,        0.00,      54.93,             0.01,        6.21,              0.01,       0.01,             0.00, 500000, 1.28, 1.00, 3.17 
PGM,    1024,     0.03, 199.83,       273.48,      0.68,       0.40,          0.67,      64.63,        0.00,      56.33,             0.01,        6.21,              0.01,       0.03,             0.00, 500000, 1.37, 1.00, 3.09 
PGM,    2048,     0.03, 204.86,       289.45,      0.68,       0.40,          0.66,      65.22,        0.00,      57.24,             0.01,        6.21,              0.01,       0.00,             0.00, 500000, 1.41, 1.00, 3.14 
PGM,    4096,     0.03, 195.82,       283.63,      0.68,       0.40,          0.64,      62.64,        0.00,      55.52,             0.01,        5.21,              0.01,       0.00,             0.00, 500000, 1.45, 1.00, 3.13 
PGM,    8192,     0.03, 209.04,       306.20,      0.69,       0.39,          0.63,      68.47,        0.00,      59.99,             0.01,        6.24,              0.01,       0.00,             0.00, 500000, 1.46, 1.00, 3.05 
PGMCacheL (0, 0.000000, 0),      16,     0.03, 164.98,       161.73,      0.72,       0.43,          0.11,      53.30,        0.00,      51.81,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 0.98, 1.00, 3.10 
PGMCacheL (0, 0.000000, 0),       4,     0.03, 159.35,       160.07,      0.73,       0.43,          0.12,      50.94,        0.00,      52.62,             0.01,       16.35,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.13 
PGMCacheL (0, 0.000000, 0),       8,     0.03, 158.20,       159.68,      0.72,       0.43,          0.11,      50.63,        0.00,      52.67,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 3.12 
PGMCacheL (0, 0.000000, 0),      32,     0.03, 156.83,       160.13,      0.75,       0.42,          0.12,      53.44,        0.00,      51.94,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.02, 1.00, 2.93 
PGMCacheL (0, 0.000000, 0),      64,     0.03, 162.11,       160.88,      0.73,       0.43,          0.11,      51.75,        0.00,      52.36,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 0.99, 1.00, 3.13 
