index, variant, time sec, cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, page-faults, DTLB-loads, DTLB-load-misses, DTLB-stores, DTLB-store-misses, ITLB_loads, ITLB_load-misses,  scale,  IPC, CPUs,  GHz 
PGM,      16,     0.04, 246.78,       252.82,      0.70,       0.39,          0.60,      74.59,        0.00,      59.65,             0.07,        9.99,              0.03,       0.00,             0.00, 500000, 1.02, 1.00, 3.31 
PGMCacheL (0, 0.000000, 0),     256,     0.03, 158.67,       161.06,      0.76,       0.43,          0.12,      52.61,        0.00,      51.85,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.02, 1.00, 3.02 
PGMCacheL (0, 0.000000, 0),    1024,     0.03, 158.53,       161.19,      0.77,       0.43,          0.12,      52.65,        0.00,      51.78,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.02, 1.00, 3.01 
PGMCacheL (0, 0.000000, 0),    2048,     0.03, 158.58,       160.40,      0.77,       0.42,          0.12,      53.76,        0.00,      51.75,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 2.95 
PGMCacheL (0, 0.000000, 0),    4096,     0.03, 161.03,       161.48,      0.77,       0.43,          0.12,      53.32,        0.00,      51.61,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.02 
PGMCacheL (0, 0.000000, 0),    8192,     0.03, 163.58,       162.97,      0.75,       0.43,          0.12,      51.55,        0.00,      52.29,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.17 
PGMCacheR (0, 0.000000, 0),      16,     0.03, 159.67,       160.10,      0.72,       0.43,          0.11,      52.10,        0.00,      52.43,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.06 
PGMCacheR (0, 0.000000, 0),       4,     0.03, 157.53,       161.66,      0.76,       0.43,          0.12,      52.29,        0.00,      52.18,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.03, 1.00, 3.01 
PGMCacheR (0, 0.000000, 0),       8,     0.02, 161.96,       164.28,      0.74,       0.44,          0.11,      48.89,        0.00,      53.10,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 3.31 
PGMCacheR (0, 0.000000, 0),      32,     0.03, 157.42,       160.43,      0.75,       0.43,          0.11,      53.30,        0.00,      51.74,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.02, 1.00, 2.95 
PGMCacheR (0, 0.000000, 0),      64,     0.03, 158.78,       161.69,      0.75,       0.43,          0.11,      52.55,        0.00,      52.09,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.02, 1.00, 3.02 
PGMCacheR (0, 0.000000, 0),     256,     0.03, 159.26,       160.89,      0.76,       0.43,          0.12,      52.93,        0.00,      51.67,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 3.01 
PGMCacheR (0, 0.000000, 0),    1024,     0.03, 158.82,       161.12,      0.76,       0.43,          0.12,      52.66,        0.00,      51.78,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 3.02 
PGMCacheR (0, 0.000000, 0),    2048,     0.03, 158.34,       160.37,      0.77,       0.42,          0.12,      53.85,        0.00,      51.85,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.01, 1.00, 2.94 
PGMCacheR (0, 0.000000, 0),    4096,     0.03, 160.45,       159.84,      0.75,       0.43,          0.12,      51.23,        0.00,      52.54,             0.01,       16.33,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.13 
PGMCacheR (0, 0.000000, 0),    8192,     0.03, 160.04,       160.78,      0.76,       0.43,          0.12,      51.38,        0.00,      52.48,             0.01,       16.34,              0.01,       0.00,             0.00, 500000, 1.00, 1.00, 3.11 
