index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.83, 1644.58,       737.39,      6.15,       3.67,          1.95,     474.05, 1750000, 0.45, 1.00, 3.47 
   RMI,       1,     0.84, 1673.40,       740.40,      6.76,       4.02,          2.30,     479.24, 1750000, 0.44, 1.00, 3.49 
   RMI,       2,     0.85, 1686.41,       739.30,      7.93,       4.57,          2.57,     483.00, 1750000, 0.44, 1.00, 3.49 
   RMI,       3,     0.57, 1137.46,       365.09,     10.14,       5.34,          2.79,     325.75, 1750000, 0.32, 1.00, 3.49 
   RMI,       4,     0.88, 1758.51,       764.99,     11.53,       6.69,          3.27,     503.61, 1750000, 0.44, 1.00, 3.49 
   RMI,       5,     0.87, 1730.71,       763.19,     12.98,       7.39,          3.43,     495.65, 1750000, 0.44, 1.00, 3.49 
   RMI,       6,     0.89, 1769.97,       769.60,     14.47,       8.43,          3.60,     506.89, 1750000, 0.43, 1.00, 3.49 
   RMI,       7,     0.92, 1825.96,       781.45,     18.04,      10.64,          4.11,     522.94, 1750000, 0.43, 1.00, 3.49 
   RMI,       8,     1.08, 2161.99,       814.84,     29.18,      19.09,          5.26,     619.15, 1750000, 0.38, 1.00, 3.49 
   RMI,       9,     1.12, 2237.47,       653.39,     33.58,      21.78,          5.69,     640.77, 1750000, 0.29, 1.00, 3.49 
    RS,       1,     0.54, 1061.12,       347.65,      8.15,       4.30,          1.54,     306.56, 1750000, 0.33, 1.00, 3.46 
    RS,       2,     0.56, 1098.76,       426.14,     12.44,       6.70,          1.98,     318.44, 1750000, 0.39, 1.00, 3.45 
    RS,       3,     0.59, 1167.66,       422.25,     12.84,       6.96,          3.43,     337.09, 1750000, 0.36, 1.00, 3.46 
    RS,       4,     0.57, 1125.64,       368.42,     10.22,       5.28,          2.58,     326.08, 1750000, 0.33, 1.00, 3.45 
    RS,       5,     0.59, 1158.49,       384.24,     11.80,       6.00,          2.89,     334.46, 1750000, 0.33, 1.00, 3.46 
    RS,       6,     0.59, 1177.50,       395.33,     12.91,       6.24,          3.35,     339.90, 1750000, 0.34, 1.00, 3.46 
    RS,       7,     0.62, 1234.66,       458.81,     16.77,       6.97,          4.38,     356.27, 1750000, 0.37, 1.00, 3.47 
    RS,       8,     0.62, 1229.92,       397.52,     16.78,       8.61,          3.61,     354.89, 1750000, 0.32, 1.00, 3.47 
    RS,       9,     0.64, 1262.60,       450.81,     19.20,       8.44,          4.03,     365.30, 1750000, 0.36, 1.00, 3.46 
    RS,      10,     0.69, 1364.58,       505.64,     24.66,       9.29,          6.53,     393.46, 1750000, 0.37, 1.00, 3.47 
   PGM,      16,     0.40, 778.91,       285.77,     12.75,       5.17,          3.52,     225.73, 1750000, 0.37, 1.00, 3.45 
   PGM,       4,     0.39, 761.08,       275.41,     12.33,       4.92,          2.91,     220.65, 1750000, 0.36, 1.00, 3.45 
   PGM,       8,     0.39, 768.50,       277.90,     12.58,       4.98,          3.06,     223.78, 1750000, 0.36, 1.00, 3.43 
   PGM,      32,     0.40, 798.32,       294.11,     12.92,       5.75,          3.85,     231.29, 1750000, 0.37, 1.00, 3.45 
   PGM,      64,     0.43, 837.98,       295.78,     13.76,       7.06,          3.86,     243.68, 1750000, 0.35, 1.00, 3.44 
   PGM,     256,     0.45, 896.92,       285.87,     18.17,      11.20,          4.10,     259.56, 1750000, 0.32, 1.00, 3.46 
   PGM,    1024,     0.56, 1099.25,       299.43,     23.44,      17.06,          4.66,     317.47, 1750000, 0.27, 1.00, 3.46 
   PGM,    2048,     0.63, 1250.87,       306.53,     27.21,      20.60,          4.92,     361.94, 1750000, 0.25, 1.00, 3.46 
   PGM,    4096,     0.71, 1398.64,       316.61,     31.07,      24.00,          5.21,     403.22, 1750000, 0.23, 1.00, 3.47 
   PGM,    8192,     0.75, 1492.49,       300.16,     33.30,      25.22,          5.19,     431.24, 1750000, 0.20, 1.00, 3.46 
 PGMMod,      16,     0.40, 792.92,       293.05,     12.81,       5.13,          3.59,     229.75, 1750000, 0.37, 1.00, 3.45 
 PGMMod,       4,     0.38, 756.15,       275.41,     12.25,       4.87,          2.81,     219.23, 1750000, 0.36, 1.00, 3.45 
 PGMMod,       8,     0.39, 764.94,       277.90,     12.63,       4.99,          3.06,     221.61, 1750000, 0.36, 1.00, 3.45 
 PGMMod,      32,     0.40, 788.29,       291.90,     12.92,       5.75,          3.77,     228.43, 1750000, 0.37, 1.00, 3.45 
 PGMMod,      64,     0.41, 818.38,       295.77,     13.76,       7.02,          3.80,     237.05, 1750000, 0.36, 1.00, 3.45 
 PGMMod,     256,     0.45, 892.76,       285.87,     18.06,      11.24,          3.90,     257.97, 1750000, 0.32, 1.00, 3.46 
