index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.23, 2145.62,       812.51,      4.26,       3.09,          1.53,     616.95, 2000000, 0.38, 1.00, 3.48 
   RMI,       1,     0.87, 1516.22,       563.12,      4.30,       3.14,          1.54,     434.22, 2000000, 0.37, 1.00, 3.49 
   RMI,       2,     0.86, 1505.49,       561.44,      4.48,       3.33,          1.72,     431.16, 2000000, 0.37, 1.00, 3.49 
   RMI,       3,     0.59, 1034.24,       366.49,      6.06,       4.41,          2.01,     296.19, 2000000, 0.35, 1.00, 3.49 
   RMI,       4,     0.89, 1560.17,       582.92,      5.62,       4.44,          2.27,     446.83, 2000000, 0.37, 1.00, 3.49 
   RMI,       5,     0.89, 1546.71,       582.80,      6.13,       4.91,          2.45,     442.97, 2000000, 0.38, 1.00, 3.49 
   RMI,       6,     1.26, 2197.11,       847.96,      8.25,       6.83,          2.84,     629.26, 2000000, 0.39, 1.00, 3.49 
   RMI,       7,     1.41, 2456.32,       878.16,     13.92,      12.23,          5.48,     703.48, 2000000, 0.36, 1.00, 3.49 
   RMI,       8,     1.10, 1915.97,       645.46,     17.96,      15.99,          4.25,     548.74, 2000000, 0.34, 1.00, 3.49 
   RMI,       9,     1.17, 2041.04,       655.63,     20.44,      18.53,          4.44,     584.54, 2000000, 0.32, 1.00, 3.49 
    RS,       1,     0.57, 993.98,       353.34,      5.76,       4.07,          1.29,     287.09, 2000000, 0.36, 1.00, 3.46 
    RS,       2,     0.59, 1019.82,       401.83,      7.30,       5.47,          1.79,     294.42, 2000000, 0.39, 1.00, 3.46 
    RS,       3,     0.59, 1014.33,       365.34,      6.18,       4.50,          1.98,     292.84, 2000000, 0.36, 1.00, 3.46 
    RS,       4,     0.61, 1049.44,       366.95,      6.82,       5.02,          1.94,     302.89, 2000000, 0.35, 1.00, 3.46 
    RS,       5,     0.60, 1044.36,       369.29,      6.75,       4.92,          2.13,     302.34, 2000000, 0.35, 1.00, 3.45 
    RS,       6,     0.63, 1093.72,       379.24,      8.21,       6.24,          2.43,     316.49, 2000000, 0.35, 1.00, 3.46 
    RS,       7,     0.64, 1102.60,       436.37,      9.82,       5.98,          3.52,     318.11, 2000000, 0.40, 1.00, 3.47 
    RS,       8,     0.65, 1118.80,       391.53,      9.78,       7.55,          2.64,     322.76, 2000000, 0.35, 1.00, 3.47 
    RS,       9,     0.64, 1119.90,       406.35,     10.43,       7.26,          3.19,     322.47, 2000000, 0.36, 1.00, 3.47 
    RS,      10,     0.69, 1198.94,       448.04,     12.20,       7.93,          4.12,     346.72, 2000000, 0.37, 1.00, 3.46 
   PGM,      16,     0.40, 686.54,       285.91,      8.22,       4.42,          2.73,     199.07, 2000000, 0.42, 1.00, 3.45 
   PGM,       4,     0.44, 753.87,       304.48,      9.38,       4.70,          2.58,     218.97, 2000000, 0.40, 1.00, 3.44 
   PGM,       8,     0.41, 706.88,       289.26,      8.21,       4.58,          2.32,     204.77, 2000000, 0.41, 1.00, 3.45 
   PGM,      32,     0.41, 711.65,       294.18,      8.59,       5.02,          2.94,     206.32, 2000000, 0.41, 1.00, 3.45 
   PGM,      64,     0.42, 719.90,       295.84,      9.36,       6.01,          3.13,     208.64, 2000000, 0.41, 1.00, 3.45 
   PGM,     256,     0.47, 803.53,       287.66,     12.32,       9.71,          3.57,     233.22, 2000000, 0.36, 1.00, 3.45 
   PGM,    1024,     0.55, 960.49,       296.00,     16.70,      14.54,          4.04,     277.41, 2000000, 0.31, 1.00, 3.46 
   PGM,    2048,     0.62, 1077.51,       306.82,     19.59,      17.68,          4.29,     310.92, 2000000, 0.28, 1.00, 3.47 
   PGM,    4096,     0.69, 1190.01,       317.52,     22.00,      20.19,          4.44,     343.15, 2000000, 0.27, 1.00, 3.47 
   PGM,    8192,     0.76, 1308.70,       327.46,     24.32,      21.72,          4.43,     377.95, 2000000, 0.25, 1.00, 3.46 
 PGMMod,      16,     0.40, 684.16,       285.89,      8.17,       4.41,          2.69,     199.08, 2000000, 0.42, 1.00, 3.44 
 PGMMod,       4,     0.44, 764.99,       304.48,      8.07,       4.40,          2.35,     222.41, 2000000, 0.40, 1.00, 3.44 
 PGMMod,       8,     0.41, 706.09,       289.28,      8.18,       4.59,          2.34,     204.53, 2000000, 0.41, 1.00, 3.45 
 PGMMod,      32,     0.42, 717.59,       295.19,      8.61,       5.03,          3.00,     207.84, 2000000, 0.41, 1.00, 3.45 
 PGMMod,      64,     0.42, 722.00,       295.83,      9.35,       6.03,          3.24,     208.88, 2000000, 0.41, 1.00, 3.46 
 PGMMod,     256,     0.46, 797.36,       287.64,     12.31,       9.74,          3.55,     231.61, 2000000, 0.36, 1.00, 3.44 
 PGMMod,    1024,     0.56, 962.09,       296.00,     16.78,      14.56,          4.02,     277.86, 2000000, 0.31, 1.00, 3.46 
 PGMMod,    2048,     0.62, 1077.95,       306.82,     19.72,      17.72,          4.38,     311.05, 2000000, 0.28, 1.00, 3.47 
 PGMMod,    4096,     0.70, 1216.05,       317.54,     22.37,      20.38,          4.48,     351.33, 2000000, 0.26, 1.00, 3.46 
 PGMMod,    8192,     0.75, 1301.36,       327.46,     24.18,      21.64,          4.39,     375.76, 2000000, 0.25, 1.00, 3.46 
 PGMCache,      16,     0.57, 985.14,       640.07,     11.93,       4.35,          3.78,     284.57, 2000000, 0.65, 1.00, 3.46 
 PGMCache,       4,     0.60, 1032.53,       648.66,     12.28,       4.47,          3.70,     298.03, 2000000, 0.63, 1.00, 3.46 
 PGMCache,       8,     0.58, 1008.52,       640.55,     11.83,       4.51,          3.44,     291.17, 2000000, 0.64, 1.00, 3.46 
 PGMCache,      32,     0.59, 1014.51,       631.43,     12.46,       4.99,          4.09,     292.76, 2000000, 0.62, 1.00, 3.47 
 PGMCache,      64,     0.60, 1028.60,       644.20,     13.77,       6.00,          4.56,     297.63, 2000000, 0.63, 1.00, 3.46 
 PGMCache,     256,     0.64, 1117.44,       640.77,     16.32,       9.73,          4.66,     322.43, 2000000, 0.57, 1.00, 3.47 
 PGMCache,    1024,     0.76, 1308.85,       627.69,     20.91,      14.61,          5.29,     377.89, 2000000, 0.48, 1.00, 3.46 
