index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
 BTree,      64,     0.57, 988.65,       367.03,     15.57,       7.74,          5.15,     283.19, 2000000, 0.37, 1.00, 3.49 
 BTree,     128,     0.56, 969.18,       364.17,     17.07,       8.77,          5.34,     279.90, 2000000, 0.38, 1.00, 3.46 
 BTree,     512,     0.59, 1026.29,       366.01,     20.72,      12.38,          5.74,     293.91, 2000000, 0.36, 1.00, 3.49 
 BTree,    1024,     0.61, 1058.31,       372.97,     23.90,      14.42,          5.88,     305.46, 2000000, 0.35, 1.00, 3.46 
 BTree,    4096,     0.69, 1212.52,       373.92,     28.71,      19.35,          5.88,     347.26, 2000000, 0.31, 1.00, 3.49 
 BTree,   16384,     0.76, 1320.84,       372.42,     33.44,      22.83,          6.09,     380.04, 2000000, 0.28, 1.00, 3.48 
 BTree,   65536,     0.82, 1436.80,       382.41,     40.09,      26.56,          6.15,     411.48, 2000000, 0.27, 1.00, 3.49 
 BTree,  262144,     0.91, 1582.19,       369.40,     48.76,      30.51,          6.40,     453.12, 2000000, 0.23, 1.00, 3.49 
 FITing,     128,     0.61, 1045.12,       396.46,     17.27,       9.93,          5.17,     302.47, 2000000, 0.38, 1.00, 3.46 
 FITing,       8,     0.60, 1036.97,       391.07,     15.16,       7.26,          4.52,     299.08, 2000000, 0.38, 1.00, 3.47 
 FITing,      16,     0.60, 1031.10,       398.92,     14.36,       7.52,          4.63,     298.36, 2000000, 0.39, 1.00, 3.46 
 FITing,      32,     0.61, 1049.04,       395.45,     15.14,       8.35,          4.79,     303.50, 2000000, 0.38, 1.00, 3.46 
 FITing,      64,     0.60, 1029.92,       394.52,     15.72,       8.85,          4.81,     298.30, 2000000, 0.38, 1.00, 3.45 
 FITing,     256,     0.62, 1072.03,       397.02,     19.12,      11.02,          5.46,     310.07, 2000000, 0.37, 1.00, 3.46 
 FITing,     512,     0.62, 1067.39,       402.43,     20.73,      12.49,          5.36,     308.02, 2000000, 0.38, 1.00, 3.47 
 FITing,    1024,     0.63, 1098.60,       395.65,     23.24,      14.60,          5.81,     316.74, 2000000, 0.36, 1.00, 3.47 
