index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.75, 1733.81,       738.79,      6.98,       4.28,          1.98,     499.50, 1500000, 0.43, 1.00, 3.47 
   RMI,       1,     0.76, 1763.77,       741.31,      7.57,       4.69,          2.34,     505.10, 1500000, 0.42, 1.00, 3.49 
   RMI,       2,     0.76, 1778.12,       739.37,      8.64,       5.36,          2.61,     509.24, 1500000, 0.42, 1.00, 3.49 
   RMI,       3,     0.53, 1240.55,       366.21,     10.74,       6.12,          2.70,     355.28, 1500000, 0.30, 1.00, 3.49 
   RMI,       4,     0.79, 1834.43,       766.06,     12.41,       7.69,          3.40,     525.35, 1500000, 0.42, 1.00, 3.49 
   RMI,       5,     0.77, 1803.87,       763.19,     13.72,       8.53,          3.57,     516.61, 1500000, 0.42, 1.00, 3.49 
   RMI,       6,     0.79, 1829.53,       769.43,     15.18,       9.65,          3.81,     523.96, 1500000, 0.42, 1.00, 3.49 
   RMI,       7,     0.83, 1923.44,       781.39,     18.98,      12.36,          4.29,     550.83, 1500000, 0.41, 1.00, 3.49 
   RMI,       8,     1.00, 2325.71,       814.61,     31.41,      22.26,          5.67,     666.07, 1500000, 0.35, 1.00, 3.49 
   RMI,       9,     1.05, 2452.57,       654.08,     35.94,      25.48,          6.22,     702.38, 1500000, 0.27, 1.00, 3.49 
    RS,       1,     0.50, 1140.11,       347.42,      9.10,       5.07,          1.57,     330.86, 1500000, 0.30, 1.00, 3.45 
    RS,       2,     0.51, 1171.81,       424.23,     13.30,       7.76,          2.02,     338.71, 1500000, 0.36, 1.00, 3.46 
    RS,       3,     0.54, 1243.47,       422.88,     13.97,       8.13,          3.66,     360.13, 1500000, 0.34, 1.00, 3.45 
    RS,       4,     0.52, 1210.05,       368.31,     11.11,       6.15,          2.68,     349.69, 1500000, 0.30, 1.00, 3.46 
    RS,       5,     0.54, 1237.86,       385.38,     12.77,       6.94,          2.98,     357.33, 1500000, 0.31, 1.00, 3.46 
    RS,       6,     0.55, 1263.65,       396.38,     13.78,       7.21,          3.51,     366.23, 1500000, 0.31, 1.00, 3.45 
    RS,       7,     0.58, 1331.22,       460.31,     17.67,       8.09,          4.71,     384.22, 1500000, 0.35, 1.00, 3.46 
    RS,       8,     0.57, 1319.48,       397.76,     17.74,       9.90,          3.79,     381.01, 1500000, 0.30, 1.00, 3.46 
    RS,       9,     0.58, 1337.32,       451.46,     20.19,       9.71,          4.27,     385.95, 1500000, 0.34, 1.00, 3.47 
    RS,      10,     0.64, 1473.98,       505.25,     25.92,      10.65,          7.13,     426.47, 1500000, 0.34, 1.00, 3.46 
