index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.06, 3523.72,       978.77,     18.04,      15.15,          4.67,    1013.61, 1050000, 0.28, 1.00, 3.48 
   RMI,       1,     1.08, 3600.85,       981.04,     20.78,      17.84,          5.23,    1031.25, 1050000, 0.27, 1.00, 3.49 
   RMI,       2,     1.11, 3677.02,       978.54,     24.04,      20.77,          5.71,    1053.04, 1050000, 0.27, 1.00, 3.49 
   RMI,       3,     0.59, 1976.66,       417.72,     28.50,      23.94,          5.81,     566.09, 1050000, 0.21, 1.00, 3.49 
   RMI,       4,     1.23, 4080.26,      1020.41,     35.73,      31.63,          6.99,    1168.56, 1050000, 0.25, 1.00, 3.49 
   RMI,       5,     1.25, 4166.23,      1018.69,     40.50,      35.40,          7.43,    1193.18, 1050000, 0.24, 1.00, 3.49 
   RMI,       6,     0.77, 2568.64,       455.32,     46.62,      39.66,          7.65,     735.73, 1050000, 0.18, 1.00, 3.49 
   RMI,       7,     1.01, 3362.04,       679.96,     55.03,      46.26,          8.51,     962.86, 1050000, 0.20, 1.00, 3.49 
   RMI,       8,     1.26, 4180.83,       739.36,     79.11,      60.76,         10.61,    1197.36, 1050000, 0.18, 1.00, 3.49 
   RMI,       9,     1.42, 4726.14,       770.37,     95.70,      68.36,         11.87,    1353.67, 1050000, 0.16, 1.00, 3.49 
    RS,       1,     0.46, 1525.79,       379.97,     13.92,      10.41,          3.37,     441.12, 1050000, 0.25, 1.00, 3.46 
    RS,       2,     0.50, 1637.69,       418.72,     17.36,      12.98,          4.76,     473.91, 1050000, 0.26, 1.00, 3.46 
    RS,       3,     0.48, 1590.03,       397.36,     16.71,      12.37,          4.26,     459.85, 1050000, 0.25, 1.00, 3.46 
    RS,       4,     0.52, 1699.14,       416.41,     19.42,      14.40,          4.76,     491.15, 1050000, 0.25, 1.00, 3.46 
    RS,       5,     0.54, 1765.41,       428.45,     22.58,      16.66,          5.23,     511.81, 1050000, 0.24, 1.00, 3.45 
    RS,       6,     0.56, 1854.30,       437.96,     26.26,      19.27,          5.78,     535.51, 1050000, 0.24, 1.00, 3.46 
    RS,       7,     0.59, 1955.95,       435.92,     30.44,      22.96,          6.46,     564.61, 1050000, 0.22, 1.00, 3.46 
    RS,       8,     0.58, 1916.28,       495.16,     30.94,      18.00,          8.69,     553.07, 1050000, 0.26, 1.00, 3.46 
    RS,       9,     0.62, 2047.20,       512.91,     36.29,      21.80,          9.91,     590.76, 1050000, 0.25, 1.00, 3.47 
    RS,      10,     0.62, 2047.60,       512.92,     36.27,      21.81,          9.87,     590.87, 1050000, 0.25, 1.00, 3.47 
   PGM,      16,     0.44, 1433.69,       371.98,     21.05,      10.31,          7.24,     416.40, 1050000, 0.26, 1.00, 3.44 
   PGM,       4,     0.42, 1394.44,       367.15,     30.70,      13.02,          7.19,     403.78, 1050000, 0.26, 1.00, 3.45 
   PGM,       8,     0.42, 1380.72,       365.83,     20.58,       9.34,          6.95,     400.11, 1050000, 0.26, 1.00, 3.45 
   PGM,      32,     0.44, 1457.88,       358.49,     22.25,      11.99,          7.34,     422.47, 1050000, 0.25, 1.00, 3.45 
   PGM,      64,     0.46, 1510.67,       365.74,     24.34,      13.97,          8.07,     438.45, 1050000, 0.24, 1.00, 3.45 
   PGM,     256,     0.50, 1637.19,       375.26,     31.10,      20.32,          9.55,     473.29, 1050000, 0.23, 1.00, 3.46 
   PGM,    1024,     0.60, 1989.35,       392.85,     39.94,      30.04,         10.04,     575.22, 1050000, 0.20, 1.00, 3.46 
   PGM,    2048,     0.64, 2107.58,       377.52,     45.24,      35.58,         10.38,     608.05, 1050000, 0.18, 1.00, 3.47 
   PGM,    4096,     0.71, 2344.18,       381.96,     49.76,      40.96,         10.72,     675.75, 1050000, 0.16, 1.00, 3.47 
   PGM,    8192,     0.79, 2600.13,       390.45,     53.13,      43.81,         11.27,     749.29, 1050000, 0.15, 1.00, 3.47 
 PGMMod,      16,     0.44, 1428.38,       371.96,     20.95,      10.32,          7.10,     414.88, 1050000, 0.26, 1.00, 3.44 
 PGMMod,       4,     0.42, 1365.41,       367.17,     20.68,       9.07,          6.94,     395.90, 1050000, 0.27, 1.00, 3.45 
 PGMMod,       8,     0.42, 1383.55,       365.83,     20.56,       9.45,          6.97,     402.21, 1050000, 0.26, 1.00, 3.44 
 PGMMod,      32,     0.45, 1462.63,       358.49,     22.32,      11.89,          7.64,     424.39, 1050000, 0.25, 1.00, 3.45 
 PGMMod,      64,     0.46, 1517.47,       365.76,     24.45,      14.03,          8.38,     438.80, 1050000, 0.24, 1.00, 3.46 
 PGMMod,     256,     0.50, 1628.25,       375.27,     31.11,      20.31,          9.58,     472.30, 1050000, 0.23, 1.00, 3.45 
 PGMMod,    1024,     0.60, 1975.68,       392.84,     40.11,      30.08,          9.92,     570.24, 1050000, 0.20, 1.00, 3.46 
 PGMMod,    2048,     0.64, 2106.13,       377.53,     44.99,      35.58,         10.44,     607.67, 1050000, 0.18, 1.00, 3.47 
 PGMMod,    4096,     0.73, 2393.66,       381.97,     50.32,      41.28,         10.63,     691.37, 1050000, 0.16, 1.00, 3.46 
