index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     1.00, 2312.29,       814.87,      6.72,       4.14,          1.83,     666.45, 1500000, 0.35, 1.00, 3.47 
   RMI,       1,     0.72, 1683.03,       565.65,      6.85,       4.19,          1.93,     481.99, 1500000, 0.34, 1.00, 3.49 
   RMI,       2,     0.72, 1671.47,       561.63,      7.24,       4.46,          2.08,     483.07, 1500000, 0.34, 1.00, 3.46 
   RMI,       3,     0.53, 1214.48,       367.84,     10.57,       5.92,          2.69,     350.70, 1500000, 0.30, 1.00, 3.46 
   RMI,       4,     0.75, 1740.16,       585.47,      9.58,       5.91,          2.96,     498.64, 1500000, 0.34, 1.00, 3.49 
   RMI,       5,     0.74, 1726.23,       582.05,     10.71,       6.54,          3.17,     494.40, 1500000, 0.34, 1.00, 3.49 
   RMI,       6,     1.03, 2387.02,       846.93,     14.61,       9.11,          4.72,     683.68, 1500000, 0.35, 1.00, 3.49 
   RMI,       7,     1.17, 2720.23,       876.08,     24.34,      16.42,          7.59,     779.25, 1500000, 0.32, 1.00, 3.49 
   RMI,       8,     0.96, 2240.12,       643.46,     30.09,      21.45,          5.60,     641.63, 1500000, 0.29, 1.00, 3.49 
   RMI,       9,     1.04, 2415.07,       656.05,     34.71,      24.84,          6.00,     691.84, 1500000, 0.27, 1.00, 3.49 
    RS,       1,     0.51, 1164.70,       351.63,      9.70,       5.49,          1.56,     336.72, 1500000, 0.30, 1.00, 3.46 
    RS,       2,     0.51, 1180.03,       398.68,     12.59,       7.32,          2.17,     341.08, 1500000, 0.34, 1.00, 3.46 
    RS,       3,     0.52, 1199.49,       365.80,     10.62,       6.04,          2.54,     346.64, 1500000, 0.30, 1.00, 3.46 
    RS,       4,     0.53, 1222.63,       367.43,     11.99,       6.68,          2.41,     354.48, 1500000, 0.30, 1.00, 3.45 
    RS,       5,     0.53, 1217.71,       370.27,     11.94,       6.55,          2.69,     351.93, 1500000, 0.30, 1.00, 3.46 
    RS,       6,     0.56, 1288.40,       382.85,     14.81,       8.33,          3.05,     371.73, 1500000, 0.30, 1.00, 3.47 
    RS,       7,     0.57, 1315.87,       437.74,     17.28,       8.16,          4.74,     381.44, 1500000, 0.33, 1.00, 3.45 
    RS,       8,     0.58, 1333.83,       391.49,     17.81,      10.17,          3.54,     386.40, 1500000, 0.29, 1.00, 3.45 
    RS,       9,     0.59, 1359.26,       404.84,     18.64,       9.96,          4.29,     393.59, 1500000, 0.30, 1.00, 3.45 
    RS,      10,     0.61, 1401.05,       449.39,     21.44,      10.66,          5.50,     404.35, 1500000, 0.32, 1.00, 3.46 
   PGM,      16,     0.38, 865.23,       287.28,     14.04,       5.93,          3.70,     250.89, 1500000, 0.33, 1.00, 3.45 
   PGM,       4,     0.42, 961.39,       306.69,     16.45,       6.29,          3.93,     278.15, 1500000, 0.32, 1.00, 3.46 
   PGM,       8,     0.39, 891.79,       288.88,     14.35,       6.11,          3.16,     258.67, 1500000, 0.32, 1.00, 3.45 
   PGM,      32,     0.39, 898.56,       297.00,     14.32,       6.79,          3.92,     260.51, 1500000, 0.33, 1.00, 3.45 
   PGM,      64,     0.40, 909.61,       294.98,     15.52,       8.10,          4.24,     263.77, 1500000, 0.32, 1.00, 3.45 
   PGM,     256,     0.45, 1041.82,       287.89,     19.43,      12.97,          4.77,     302.42, 1500000, 0.28, 1.00, 3.44 
   PGM,    1024,     0.54, 1243.22,       296.40,     25.71,      19.49,          5.45,     359.14, 1500000, 0.24, 1.00, 3.46 
   PGM,    2048,     0.61, 1402.59,       306.53,     30.00,      23.72,          5.81,     404.96, 1500000, 0.22, 1.00, 3.46 
   PGM,    4096,     0.67, 1559.98,       317.50,     33.63,      27.07,          6.04,     449.89, 1500000, 0.20, 1.00, 3.47 
   PGM,    8192,     0.75, 1737.26,       327.83,     36.56,      29.07,          6.15,     501.61, 1500000, 0.19, 1.00, 3.46 
 PGMMod,      16,     0.38, 864.27,       287.26,     13.99,       5.93,          3.67,     251.61, 1500000, 0.33, 1.00, 3.43 
 PGMMod,       4,     0.41, 934.78,       306.68,     14.29,       5.96,          3.27,     271.76, 1500000, 0.33, 1.00, 3.44 
 PGMMod,       8,     0.39, 891.44,       288.88,     14.29,       6.12,          3.18,     258.42, 1500000, 0.32, 1.00, 3.45 
 PGMMod,      32,     0.39, 906.50,       298.37,     14.39,       6.79,          4.10,     262.71, 1500000, 0.33, 1.00, 3.45 
 PGMMod,      64,     0.40, 914.97,       294.97,     15.52,       8.15,          4.36,     265.15, 1500000, 0.32, 1.00, 3.45 
 PGMMod,     256,     0.46, 1057.38,       287.88,     19.41,      12.95,          4.75,     306.93, 1500000, 0.27, 1.00, 3.45 
 PGMMod,    1024,     0.54, 1248.23,       296.41,     25.86,      19.52,          5.45,     360.59, 1500000, 0.24, 1.00, 3.46 
 PGMMod,    2048,     0.61, 1404.23,       306.54,     29.96,      23.71,          5.93,     405.56, 1500000, 0.22, 1.00, 3.46 
 PGMMod,    4096,     0.68, 1570.02,       317.51,     33.69,      27.19,          6.09,     452.73, 1500000, 0.20, 1.00, 3.47 
 PGMMod,    8192,     0.75, 1744.06,       327.82,     36.41,      29.09,          6.02,     502.72, 1500000, 0.19, 1.00, 3.47 
 PGMCache,      16,     0.54, 1245.58,       705.89,     17.12,       5.83,          5.06,     359.92, 1500000, 0.57, 1.00, 3.46 
 PGMCache,       4,     0.57, 1308.43,       717.37,     17.67,       5.97,          5.00,     378.80, 1500000, 0.55, 1.00, 3.45 
 PGMCache,       8,     0.55, 1273.02,       706.56,     16.96,       6.01,          4.61,     368.66, 1500000, 0.56, 1.00, 3.45 
 PGMCache,      32,     0.56, 1281.74,       701.38,     17.71,       6.73,          5.44,     370.26, 1500000, 0.55, 1.00, 3.46 
 PGMCache,      64,     0.57, 1308.74,       711.44,     19.61,       8.08,          6.17,     378.88, 1500000, 0.54, 1.00, 3.45 
 PGMCache,     256,     0.63, 1447.67,       706.87,     22.94,      13.00,          6.27,     418.70, 1500000, 0.49, 1.00, 3.46 
 PGMCache,    1024,     0.73, 1680.71,       696.41,     28.98,      19.55,          7.12,     485.45, 1500000, 0.41, 1.00, 3.46 
 PGMCache,    2048,     0.79, 1814.96,       719.35,     33.02,      23.71,          7.42,     523.86, 1500000, 0.40, 1.00, 3.46 
 PGMCache,    4096,     0.85, 1958.35,       726.47,     36.16,      27.13,          7.60,     563.93, 1500000, 0.37, 1.00, 3.47 
 PGMCache,    8192,     0.92, 2128.50,       733.58,     38.27,      29.11,          7.46,     612.68, 1500000, 0.34, 1.00, 3.47 
 BTree,      32,     0.57, 1329.80,       373.12,     26.12,      10.03,          6.65,     380.86, 1500000, 0.28, 1.00, 3.49 
 BTree,       1,     0.72, 1670.11,       376.85,     29.22,      11.31,          5.49,     481.45, 1500000, 0.23, 1.00, 3.47 
 BTree,       4,     0.64, 1480.03,       365.97,     27.70,       9.65,          6.34,     427.00, 1500000, 0.25, 1.00, 3.47 
 BTree,      16,     0.58, 1349.36,       365.16,     26.08,       9.65,          6.52,     386.48, 1500000, 0.27, 1.00, 3.49 
 BTree,      64,     0.56, 1309.52,       373.07,     25.93,      10.53,          6.87,     375.04, 1500000, 0.28, 1.00, 3.49 
 BTree,     128,     0.55, 1274.39,       367.08,     27.42,      11.81,          7.16,     367.96, 1500000, 0.29, 1.00, 3.46 
 BTree,     512,     0.57, 1334.62,       368.93,     31.75,      16.60,          7.66,     382.22, 1500000, 0.28, 1.00, 3.49 
 BTree,    1024,     0.60, 1386.48,       370.33,     35.40,      19.45,          7.92,     400.32, 1500000, 0.27, 1.00, 3.46 
 BTree,    4096,     0.66, 1543.26,       370.43,     39.94,      24.95,          7.88,     441.99, 1500000, 0.24, 1.00, 3.49 
 BTree,   16384,     0.81, 1859.49,       375.70,     46.64,      31.19,          8.31,     536.75, 1500000, 0.20, 1.00, 3.46 
 BTree,   65536,     0.88, 2059.31,       376.13,     53.90,      36.83,          8.53,     589.78, 1500000, 0.18, 1.00, 3.49 
 BTree,  262144,     0.96, 2239.07,       372.74,     63.46,      42.52,          9.07,     641.27, 1500000, 0.17, 1.00, 3.49 
 FITing,     128,     0.46, 1063.91,       392.01,     22.96,      10.18,          5.48,     307.95, 1500000, 0.37, 1.00, 3.45 
 FITing,       8,     0.63, 1457.87,       393.24,     26.33,      10.39,          6.01,     420.70, 1500000, 0.27, 1.00, 3.47 
 FITing,      16,     0.57, 1306.98,       393.25,     24.65,       9.62,          5.85,     377.42, 1500000, 0.30, 1.00, 3.46 
 FITing,      32,     0.50, 1160.41,       388.66,     23.71,       8.67,          5.92,     335.64, 1500000, 0.33, 1.00, 3.46 
 FITing,      64,     0.47, 1093.36,       392.86,     23.22,       9.12,          5.45,     316.24, 1500000, 0.36, 1.00, 3.46 
 FITing,     256,     0.48, 1109.10,       380.54,     23.92,      11.87,          5.50,     321.73, 1500000, 0.34, 1.00, 3.45 
 FITing,     512,     0.49, 1140.35,       369.31,     24.56,      14.68,          5.56,     329.68, 1500000, 0.32, 1.00, 3.46 
 FITing,    1024,     0.53, 1211.95,       360.61,     26.85,      18.00,          5.72,     351.27, 1500000, 0.30, 1.00, 3.45 
