index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.60, 1985.44,       744.26,      8.13,       6.08,          2.04,     574.81, 1050000, 0.37, 1.00, 3.45 
   RMI,       1,     0.61, 2021.59,       745.74,      8.73,       6.69,          2.39,     585.19, 1050000, 0.37, 1.00, 3.45 
   RMI,       2,     0.62, 2046.31,       739.72,      9.72,       7.61,          2.70,     593.49, 1050000, 0.36, 1.00, 3.45 
   RMI,       3,     0.45, 1480.48,       370.19,     11.79,       8.71,          2.80,     430.11, 1050000, 0.25, 1.00, 3.44 
   RMI,       4,     0.65, 2121.12,       770.05,     13.46,      11.06,          3.59,     614.41, 1050000, 0.36, 1.00, 3.45 
   RMI,       5,     0.63, 2086.87,       763.79,     14.91,      12.20,          3.82,     604.32, 1050000, 0.37, 1.00, 3.45 
   RMI,       6,     0.63, 2086.43,       769.77,     16.58,      13.71,          4.13,     603.92, 1050000, 0.37, 1.00, 3.45 
   RMI,       7,     0.67, 2212.63,       781.53,     20.65,      17.59,          4.76,     637.61, 1050000, 0.35, 1.00, 3.47 
   RMI,       8,     0.83, 2734.85,       815.21,     35.05,      31.59,          6.72,     787.13, 1050000, 0.30, 1.00, 3.47 
   RMI,       9,     0.86, 2867.44,       652.96,     41.20,      36.10,          7.15,     821.19, 1050000, 0.23, 1.00, 3.49 
    RS,       1,     0.41, 1341.63,       347.90,     10.18,       7.10,          1.63,     388.66, 1050000, 0.26, 1.00, 3.45 
    RS,       2,     0.42, 1373.90,       424.61,     14.44,      10.90,          2.17,     397.68, 1050000, 0.31, 1.00, 3.45 
    RS,       3,     0.45, 1474.11,       424.33,     15.32,      11.59,          4.01,     426.64, 1050000, 0.29, 1.00, 3.46 
    RS,       4,     0.43, 1415.87,       368.46,     12.14,       8.79,          2.79,     411.69, 1050000, 0.26, 1.00, 3.44 
    RS,       5,     0.45, 1468.49,       389.16,     13.67,       9.88,          3.10,     426.73, 1050000, 0.27, 1.00, 3.44 
    RS,       6,     0.45, 1494.73,       400.50,     14.84,      10.28,          3.74,     432.57, 1050000, 0.27, 1.00, 3.46 
    RS,       7,     0.48, 1582.25,       464.53,     19.24,      11.45,          5.30,     459.47, 1050000, 0.29, 1.00, 3.44 
    RS,       8,     0.48, 1573.64,       398.21,     18.85,      14.07,          4.03,     456.86, 1050000, 0.25, 1.00, 3.44 
    RS,       9,     0.49, 1595.41,       452.24,     21.76,      13.79,          4.65,     463.09, 1050000, 0.28, 1.00, 3.45 
    RS,      10,     0.54, 1763.71,       505.93,     28.07,      15.19,          8.71,     510.57, 1050000, 0.29, 1.00, 3.45 
   PGM,      16,     0.35, 1148.94,       285.97,     15.37,       8.53,          5.76,     334.94, 1050000, 0.25, 1.00, 3.43 
   PGM,       4,     0.34, 1112.46,       275.48,     14.61,       8.04,          4.67,     324.59, 1050000, 0.25, 1.00, 3.43 
   PGM,       8,     0.35, 1131.34,       277.91,     14.85,       8.23,          4.96,     330.18, 1050000, 0.25, 1.00, 3.43 
   PGM,      32,     0.36, 1189.83,       296.81,     16.06,       9.60,          6.32,     347.00, 1050000, 0.25, 1.00, 3.43 
   PGM,      64,     0.37, 1215.21,       295.94,     17.35,      11.60,          6.52,     353.72, 1050000, 0.24, 1.00, 3.44 
   PGM,     256,     0.42, 1365.45,       286.12,     23.96,      18.67,          6.73,     395.30, 1050000, 0.21, 1.00, 3.45 
   PGM,    1024,     0.52, 1719.74,       299.36,     32.23,      28.41,          7.64,     498.66, 1050000, 0.17, 1.00, 3.45 
   PGM,    2048,     0.58, 1913.14,       307.00,     37.43,      34.21,          8.12,     552.05, 1050000, 0.16, 1.00, 3.47 
   PGM,    4096,     0.66, 2187.73,       316.96,     42.92,      39.99,          8.49,     632.70, 1050000, 0.14, 1.00, 3.46 
   PGM,    8192,     0.70, 2299.08,       300.48,     45.32,      41.84,          8.38,     664.58, 1050000, 0.13, 1.00, 3.46 
 PGMMod,      16,     0.36, 1169.52,       298.10,     15.65,       8.57,          5.84,     339.40, 1050000, 0.25, 1.00, 3.45 
 PGMMod,       4,     0.34, 1115.50,       275.48,     14.87,       8.21,          4.67,     322.76, 1050000, 0.25, 1.00, 3.46 
 PGMMod,       8,     0.35, 1131.92,       277.92,     15.20,       8.40,          5.13,     329.06, 1050000, 0.25, 1.00, 3.44 
 PGMMod,      32,     0.36, 1170.88,       293.10,     16.14,       9.57,          6.24,     339.77, 1050000, 0.25, 1.00, 3.45 
 PGMMod,      64,     0.37, 1210.36,       295.93,     17.56,      11.58,          6.32,     351.54, 1050000, 0.24, 1.00, 3.44 
 PGMMod,     256,     0.41, 1358.80,       286.11,     23.93,      18.74,          6.44,     393.50, 1050000, 0.21, 1.00, 3.45 
 PGMMod,    1024,     0.51, 1697.39,       299.34,     32.06,      28.29,          7.48,     489.34, 1050000, 0.18, 1.00, 3.47 
 PGMMod,    2048,     0.59, 1932.24,       307.01,     37.43,      34.33,          7.95,     559.51, 1050000, 0.16, 1.00, 3.45 
 PGMMod,    4096,     0.65, 2159.46,       316.95,     42.81,      39.83,          8.46,     622.86, 1050000, 0.15, 1.00, 3.47 
 PGMMod,    8192,     0.70, 2304.57,       300.47,     45.31,      42.00,          8.42,     664.46, 1050000, 0.13, 1.00, 3.47 
 PGMCache,      16,     0.52, 1726.52,       824.30,     22.61,       8.46,          9.74,     498.93, 1050000, 0.48, 1.00, 3.46 
 PGMCache,       4,     0.51, 1667.77,       800.27,     21.30,       7.97,          8.56,     483.79, 1050000, 0.48, 1.00, 3.45 
 PGMCache,       8,     0.52, 1700.39,       803.73,     22.15,       8.37,          9.11,     491.42, 1050000, 0.47, 1.00, 3.46 
 PGMCache,      32,     0.53, 1730.54,       819.40,     23.19,       9.50,          9.90,     501.75, 1050000, 0.47, 1.00, 3.45 
 PGMCache,      64,     0.53, 1746.51,       822.19,     24.63,      11.64,         10.02,     504.62, 1050000, 0.47, 1.00, 3.46 
 PGMCache,     256,     0.58, 1924.94,       813.90,     31.26,      18.80,         10.82,     555.72, 1050000, 0.42, 1.00, 3.46 
 PGMCache,    1024,     0.69, 2266.44,       826.56,     40.17,      28.42,         11.74,     653.50, 1050000, 0.36, 1.00, 3.47 
 PGMCache,    2048,     0.73, 2427.65,       820.04,     45.62,      34.32,         10.29,     699.69, 1050000, 0.34, 1.00, 3.47 
 PGMCache,    4096,     0.81, 2690.28,       829.53,     51.16,      39.89,         11.11,     774.81, 1050000, 0.31, 1.00, 3.47 
 PGMCache,    8192,     0.88, 2898.24,       827.70,     53.61,      42.09,         12.73,     834.05, 1050000, 0.29, 1.00, 3.47 
 BTree,      32,     0.48, 1611.05,       499.10,     25.26,      11.84,          8.95,     461.38, 1050000, 0.31, 1.00, 3.49 
 BTree,       1,     0.62, 2052.10,       540.75,     28.81,      14.57,          7.38,     592.12, 1050000, 0.26, 1.00, 3.47 
 BTree,       4,     0.54, 1766.46,       510.02,     25.95,      12.40,          7.77,     510.43, 1050000, 0.29, 1.00, 3.46 
 BTree,      16,     0.49, 1626.47,       498.48,     25.18,      12.16,          8.53,     465.79, 1050000, 0.31, 1.00, 3.49 
 BTree,      64,     0.49, 1616.24,       489.83,     26.07,      13.71,          8.90,     462.87, 1050000, 0.30, 1.00, 3.49 
 BTree,     128,     0.49, 1608.24,       480.40,     27.96,      16.28,          9.35,     467.38, 1050000, 0.30, 1.00, 3.44 
 BTree,     512,     0.53, 1764.18,       479.20,     34.50,      23.06,         10.43,     505.24, 1050000, 0.27, 1.00, 3.49 
 BTree,    1024,     0.55, 1816.74,       476.42,     38.63,      26.42,         10.41,     520.29, 1050000, 0.26, 1.00, 3.49 
 BTree,    4096,     0.65, 2148.70,       455.18,     47.29,      36.65,         10.99,     615.35, 1050000, 0.21, 1.00, 3.49 
 BTree,   16384,     0.77, 2561.44,       444.26,     55.28,      44.68,         11.34,     733.58, 1050000, 0.17, 1.00, 3.49 
 BTree,   65536,     0.87, 2888.43,       432.84,     63.16,      51.50,         11.39,     827.21, 1050000, 0.15, 1.00, 3.49 
 BTree,  262144,     0.94, 3109.56,       432.40,     72.58,      57.53,         12.01,     890.54, 1050000, 0.14, 1.00, 3.49 
 FITing,     128,     0.43, 1415.22,       478.20,     25.62,      14.24,          8.13,     411.48, 1050000, 0.34, 1.00, 3.44 
 FITing,       8,     0.49, 1625.00,       490.29,     25.05,      11.93,          7.91,     469.41, 1050000, 0.30, 1.00, 3.46 
 FITing,      16,     0.47, 1542.35,       515.11,     24.17,      11.39,          7.73,     448.23, 1050000, 0.33, 1.00, 3.44 
 FITing,      32,     0.45, 1484.07,       481.36,     24.27,      11.94,          7.85,     431.36, 1050000, 0.32, 1.00, 3.44 
 FITing,      64,     0.44, 1450.56,       479.22,     24.79,      12.75,          7.99,     421.56, 1050000, 0.33, 1.00, 3.44 
 FITing,     256,     0.44, 1457.24,       444.66,     27.48,      17.52,          7.95,     421.58, 1050000, 0.31, 1.00, 3.46 
 FITing,     512,     0.47, 1560.65,       421.69,     29.69,      21.35,          7.78,     451.41, 1050000, 0.27, 1.00, 3.46 
 FITing,    1024,     0.49, 1630.96,       394.86,     32.15,      25.72,          8.00,     471.32, 1050000, 0.24, 1.00, 3.46 
