index, variant, time sec,  cycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock,   scale,  IPC, CPUs,  GHz 
   RMI,       0,     0.60, 1976.91,       754.60,      8.56,       6.45,          2.19,     572.33, 1050000, 0.38, 1.00, 3.45 
   RMI,       1,     0.60, 1974.15,       744.91,      8.95,       6.86,          2.38,     571.55, 1050000, 0.38, 1.00, 3.45 
   RMI,       2,     0.60, 1977.58,       742.88,      9.21,       7.10,          2.92,     573.78, 1050000, 0.38, 1.00, 3.45 
   RMI,       3,     0.61, 2009.17,       755.27,      9.85,       7.69,          3.19,     580.74, 1050000, 0.38, 1.00, 3.46 
   RMI,       4,     0.61, 2003.66,       755.41,     10.75,       8.55,          3.56,     581.35, 1050000, 0.38, 1.00, 3.45 
   RMI,       5,     0.62, 2029.12,       761.39,     11.98,       9.45,          3.98,     589.14, 1050000, 0.38, 1.00, 3.44 
   RMI,       6,     0.61, 2012.63,       761.68,     13.80,      11.08,          4.43,     582.26, 1050000, 0.38, 1.00, 3.46 
   RMI,       7,     0.67, 2217.88,       790.02,     20.84,      17.60,          5.73,     638.74, 1050000, 0.36, 1.00, 3.47 
   RMI,       8,     1.03, 3417.92,       855.51,     50.84,      45.33,          9.03,     978.83, 1050000, 0.25, 1.00, 3.49 
   RMI,       9,     1.12, 3721.58,       708.43,     63.35,      52.58,         10.59,    1065.80, 1050000, 0.19, 1.00, 3.49 
    RS,       1,     0.42, 1390.00,       361.56,     12.28,       8.85,          2.59,     404.26, 1050000, 0.26, 1.00, 3.44 
    RS,       2,     0.44, 1441.99,       373.24,     13.09,       9.45,          3.23,     417.65, 1050000, 0.26, 1.00, 3.45 
    RS,       3,     0.45, 1475.91,       387.20,     14.10,      10.17,          3.35,     428.87, 1050000, 0.26, 1.00, 3.44 
    RS,       4,     0.45, 1460.16,       378.35,     14.65,      10.56,          3.58,     424.34, 1050000, 0.26, 1.00, 3.44 
    RS,       5,     0.47, 1539.19,       395.89,     16.67,      12.14,          3.96,     445.25, 1050000, 0.26, 1.00, 3.46 
    RS,       6,     0.49, 1629.28,       406.96,     19.09,      14.41,          4.47,     471.08, 1050000, 0.25, 1.00, 3.46 
    RS,       7,     0.51, 1683.13,       404.37,     22.16,      17.20,          5.02,     486.49, 1050000, 0.24, 1.00, 3.46 
    RS,       8,     0.55, 1814.94,       415.39,     26.87,      21.56,          5.67,     524.03, 1050000, 0.23, 1.00, 3.46 
    RS,       9,     0.48, 1586.80,       475.57,     23.39,      11.12,          7.73,     458.91, 1050000, 0.30, 1.00, 3.46 
    RS,      10,     0.50, 1651.32,       407.87,     21.75,      16.63,          5.40,     477.42, 1050000, 0.25, 1.00, 3.46 
   PGM,      16,     0.34, 1105.25,       300.47,     17.57,       8.61,          6.06,     322.39, 1050000, 0.27, 1.00, 3.43 
   PGM,       4,     0.37, 1207.69,       312.40,     18.67,       9.81,          6.17,     350.58, 1050000, 0.26, 1.00, 3.44 
   PGM,       8,     0.35, 1141.86,       292.92,     16.85,       8.98,          5.91,     333.36, 1050000, 0.26, 1.00, 3.43 
   PGM,      32,     0.35, 1139.13,       306.92,     18.21,       9.76,          6.83,     329.87, 1050000, 0.27, 1.00, 3.45 
   PGM,      64,     0.38, 1236.52,       310.06,     19.18,      12.59,          7.30,     359.95, 1050000, 0.25, 1.00, 3.44 
   PGM,     256,     0.46, 1506.20,       329.61,     27.59,      21.18,          8.43,     435.60, 1050000, 0.22, 1.00, 3.46 
   PGM,    1024,     0.56, 1836.47,       321.14,     37.86,      31.16,          8.90,     530.18, 1050000, 0.17, 1.00, 3.46 
   PGM,    2048,     0.62, 2059.90,       329.03,     43.49,      36.67,          9.42,     594.43, 1050000, 0.16, 1.00, 3.47 
   PGM,    4096,     0.69, 2263.19,       343.52,     48.64,      41.55,          9.67,     652.47, 1050000, 0.15, 1.00, 3.47 
   PGM,    8192,     0.76, 2506.56,       352.30,     52.54,      44.63,         10.97,     722.29, 1050000, 0.14, 1.00, 3.47 
 PGMMod,      16,     0.34, 1113.66,       312.54,     17.60,       8.35,          6.09,     324.79, 1050000, 0.28, 1.00, 3.43 
 PGMMod,       4,     0.36, 1197.94,       312.38,     16.51,       9.45,          5.89,     347.49, 1050000, 0.26, 1.00, 3.45 
